County,Population (January 2019),Population in Group Quarters (January 2019),Population: Unincorporated (January 2019),"Population: Unincorporated, Group Quarters (January 2019)",Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Eligible Voters (February 2019),Registered Voters: No Party (February 2019),Registered Voters: Democrat (February 2019),Registered Voters: Republican (February 2019),Registered Voters: Other Party (February 2019),Labor Force: Employed (2018),Labor Force: Unemployed (2018),Labor Force: Unemployment Rate (2018),Poverty: All Ages (2017),Poverty: All Ages Percent (2017),Poverty: Under 18 (2017),Poverty: Under 18 Percent (2017),Median Household Income (2017)
Sacramento,"1,546,174","23,011","594,216","6,924","8,822","223,884","154,814","356,886","70,916","15,511","722,619","118,239","245,872","965,570","223,771","1,007,281","211,566","328,290","196,804","42,271"," 683,500 "," 27,000 ",3.8%,"213,232",14.1%,"65,306",18.2%,"$62,959 "
San Benito,"62,296",436,"20,066",195,256,"1,600",464,"35,453","1,036",84,"22,889","4,380","9,710","39,059","8,633","34,141","7,977","13,834","7,874","1,300"," 29,300 "," 1,600 ",5.1%,"5,029",8.4%,"1,824",11.9%,"$77,200 "
San Bernardino,"2,192,203","37,013","312,654","4,058","9,015","137,980","185,107","1,125,926","48,900","6,447","687,051","181,920","397,651","1,354,200","266,655","1,327,030","254,778","373,846","278,145","52,068"," 922,300 "," 38,800 ",4.0%,"339,748",16.0%,"129,269",23.0%,"$60,270 "
San Diego,"3,351,786","109,789","515,403","25,078","15,324","360,173","161,578","1,149,123","108,674","14,844","1,557,657","258,743","544,174","2,055,314","509,142","2,214,593","552,538","623,925","475,149","91,185"," 1,539,500 "," 52,700 ",3.3%,"385,479",11.9%,"112,637",15.7%,"$76,048 "
San Francisco,"883,869","25,803",0,,"2,102","284,464","46,647","136,733","31,679","3,443","390,250","51,024","82,949","608,141","153,204","654,080","162,219","280,182","31,823","18,314"," 562,000 "," 13,500 ",2.4%,"87,314",10.1%,"14,234",12.3%,"$109,601 "
San Joaquin,"770,385","15,827","159,808","5,434","3,575","109,101","56,396","312,861","25,802","3,813","258,382","61,455","139,083","468,320","101,072","452,747","90,030","143,400","99,566","15,654"," 306,800 "," 19,600 ",6.0%,"113,375",15.5%,"43,313",21.6%,"$60,950 "
San Luis Obispo,"280,393","16,186","121,855","12,620","1,475","8,968","5,274","63,673","6,705",375,"194,567","15,203","35,749","167,786","62,299","209,660","42,875","58,493","58,641","9,048"," 136,800 "," 4,200 ",2.9%,"31,826",11.9%,"6,083",12.3%,"$70,634 "
San Mateo,"774,485","9,408","66,027","1,862","1,316","196,942","19,839","203,789","27,692","11,193","319,125","51,795","110,606","479,620","137,875","505,743","126,738","202,341","60,045","14,875"," 444,900 "," 10,000 ",2.2%,"48,795",6.4%,"11,102",7.0%,"$115,908 "
Santa Barbara,"454,593","20,286","144,503","14,108","1,939","21,742","7,921","209,855","10,078",800,"204,179","33,784","69,285","283,123","70,322","292,740","60,238","91,696","55,251","9,926"," 208,300 "," 8,400 ",3.9%,"60,921",14.2%,"16,917",17.4%,"$70,651 "
Santa Clara,"1,954,286","30,214","88,368","6,878","4,651","648,474","46,867","540,956","63,110","7,015","665,572","135,848","304,577","1,240,251","295,969","1,197,177","308,769","405,470","151,213","29,743"," 1,021,500 "," 27,300 ",2.6%,"142,603",7.5%,"34,255",8.1%,"$118,468 "
